date,requests,downloads,downloads_size
2025-04-01T00:00:00,128765,125099,4451.33 GB
2025-05-01T00:00:00,115389,112141,4899.9 GB
2025-06-01T00:00:00,108690,95783,9245.87 GB
2025-07-01T00:00:00,135144,130040,8993.93 GB
2025-08-01T00:00:00,144421,141309,10191.69 GB
2025-09-01T00:00:00,97327,92329,11304.86 GB
2025-10-01T00:00:00,81728,74033,5349.97 GB
2025-11-01T00:00:00,83865,77842,10505.03 GB
2025-12-01T00:00:00,76735,74086,6921.25 GB
2026-01-01T00:00:00,77241,75369,9943.06 GB
2026-02-01T00:00:00,78073,75815,5274.97 GB
