date,requests,downloads,downloads_size
2025-04-01T00:00:00,128765,125099,4558162
2025-05-01T00:00:00,115389,112141,5017498
2025-06-01T00:00:00,108690,95783,9467771
2025-07-01T00:00:00,135144,130040,9209784
2025-08-01T00:00:00,144421,141309,10436291
2025-09-01T00:00:00,97327,92329,11576177
2025-10-01T00:00:00,81728,74033,5478369
2025-11-01T00:00:00,83865,77842,10757151
2025-12-01T00:00:00,76735,74086,7087360
2026-01-01T00:00:00,77241,75369,10181693
2026-02-01T00:00:00,78073,75815,5401569
