date,requests,downloads,downloads_size
2025-04-01T00:00:00,54318,53146,1711176
2025-05-01T00:00:00,29386,28150,646717
2025-06-01T00:00:00,10239,9151,874742
2025-07-01T00:00:00,16422,15853,833413
2025-08-01T00:00:00,29436,28718,1915863
2025-09-01T00:00:00,26615,24173,2487480
2025-10-01T00:00:00,7338,6809,432538
2025-11-01T00:00:00,4395,4270,469606
2025-12-01T00:00:00,35602,33607,3136911
2026-01-01T00:00:00,39928,38693,5298381
2026-02-01T00:00:00,54588,54690,3270380
2026-03-01T00:00:00,53733,51501,2195896
