month,requests,successful_requests,failures,failure_rate_percent,subsetted_data_gb,peak_concurrency,dkrz_requests,dkrz_successful_requests,dkrz_failures,dkrz_peak_concurrency,dkrz_subsetted_data_gb,ceda_requests,ceda_successful_requests,ceda_failures,ceda_peak_concurrency,ceda_subsetted_data_gb
2021-01,0,0,0,,0.00,0,0,0,0,0,0.00,0,0,0,0,0.00
2021-02,0,0,0,,0.00,0,0,0,0,0,0.00,0,0,0,0,0.00
2021-03,1765,1632,133,7.535,0.00,48,793,731,62,12,0.00,792,729,63,12,0.00
2021-04,2862,2718,144,5.031,0.00,28,1365,1304,61,8,0.00,1497,1414,83,28,0.00
2021-05,2825,2540,285,10.088,347.42,9,1380,1253,127,7,0.00,1445,1287,158,9,0.00
2021-06,5219,4836,383,7.339,649.45,11,2672,2478,194,10,0.00,2547,2358,189,10,0.00
2021-07,4593,4370,223,4.855,383.89,10,2086,2011,75,9,188.69,2507,2359,148,9,195.20
2021-08,7114,6932,182,2.558,2145.68,13,3671,3587,84,9,1159.75,3437,3340,97,11,985.88
2021-09,8437,8025,412,4.883,968.40,28,4351,4258,93,28,968.40,4086,3767,319,25,0.00
2021-10,10138,9887,251,2.476,928.30,80,5087,5016,71,11,928.29,5051,4871,180,80,0.00
2021-11,24468,22799,1669,6.821,589.44,38,11515,10752,763,37,589.44,12953,12047,906,10,0.00
2021-12,26833,26374,459,1.711,1603.19,18,13273,13067,206,11,1603.19,13560,13307,253,12,0.00
