month,requests,successful_requests,failures,failure_rate_percent,subsetted_data_gb,peak_concurrency,dkrz_requests,dkrz_successful_requests,dkrz_failures,dkrz_peak_concurrency,dkrz_subsetted_data_gb,ipsl_requests,ipsl_successful_requests,ipsl_failures,ipsl_peak_concurrency,ipsl_subsetted_data_gb,ceda_requests,ceda_successful_requests,ceda_failures,ceda_peak_concurrency,ceda_subsetted_data_gb
2022-01,19575,19328,247,1.262,1317.88,143,12527,12376,151,11,847.60,1318,1297,21,6,67.60,5730,5655,75,143,402.68
2022-02,61534,56072,5462,8.876,1977.32,16,53038,48398,4640,16,1661.88,8255,7455,800,7,305.97,241,219,22,2,9.47
2022-03,37937,37509,428,1.128,2312.08,15,27911,27677,234,15,1425.36,9938,9744,194,14,878.87,88,88,0,3,7.85
2022-04,49363,48627,736,1.491,2321.83,13,36622,36186,436,13,1688.21,12586,12288,298,13,630.49,155,153,2,4,3.13
2022-05,43851,43410,441,1.006,646.32,23,36240,35889,351,23,397.42,7611,7521,90,11,248.90,0,0,0,0,0.00
2022-06,9931,9567,364,3.665,979.32,20,4619,4507,112,20,492.71,5312,5060,252,16,486.61,0,0,0,0,0.00
2022-07,13940,13376,564,4.046,1221.60,14,7048,6793,255,9,628.55,6892,6583,309,14,593.05,0,0,0,0,0.00
2022-08,23063,22586,477,2.068,1848.35,21,11752,11622,130,12,997.22,11311,10964,347,21,851.13,0,0,0,0,0.00
2022-09,27339,25954,1385,5.066,1831.25,20,14086,13514,572,14,935.43,13253,12440,813,20,895.82,0,0,0,0,0.00
2022-10,16302,15058,1244,7.631,4988.31,97,9768,8915,853,26,3745.79,6534,6143,391,97,1242.52,0,0,0,0,0.00
2022-11,28732,19576,9156,31.867,3298.21,20,13789,9085,4704,8,1639.80,14943,10491,4452,20,1658.41,0,0,0,0,0.00
2022-12,26254,24082,2172,8.273,4421.76,28,11473,10384,1089,28,1780.58,14781,13698,1083,17,2641.18,0,0,0,0,0.00
