month,requests,successful_requests,failures,failure_rate_percent,subsetted_data_gb,peak_concurrency,dkrz_requests,dkrz_successful_requests,dkrz_failures,dkrz_peak_concurrency,dkrz_subsetted_data_gb,ipsl_requests,ipsl_successful_requests,ipsl_failures,ipsl_peak_concurrency,ipsl_subsetted_data_gb
2024-01,123197,122170,1027,0.834,3038.14,23,85767,85128,639,23,2163.38,37430,37042,388,19,874.76
2024-02,122517,121540,977,0.797,6362.96,19,100404,99673,731,15,5054.41,22113,21867,246,19,1308.55
2024-03,96338,92615,3723,3.865,5485.72,17,82078,79263,2815,14,4739.20,14260,13352,908,17,746.52
2024-04,187649,183393,4256,2.268,4207.55,16,144867,141659,3208,14,2991.66,42782,41734,1048,16,1215.89
2024-05,217920,213540,4380,2.010,4592.88,22,174193,170566,3627,16,3328.50,43727,42974,753,22,1264.38
2024-06,152143,146324,5819,3.825,4245.19,46,121832,116560,5272,28,2977.22,30311,29764,547,46,1267.97
2024-07,102557,100194,2363,2.304,5394.31,18,82805,81028,1777,15,4056.22,19752,19166,586,18,1338.09
2024-08,202981,199531,3450,1.700,5019.76,31,194361,191065,3296,31,4784.52,8620,8466,154,11,235.24
2024-09,44914,39823,5091,11.335,2961.86,18,37765,33515,4250,15,2821.86,7149,6308,841,18,140.00
2024-10,75950,59970,15980,21.040,4574.74,15,71344,57483,13861,15,4208.07,4606,2487,2119,15,366.67
2024-11,141026,123026,18000,12.764,3547.78,40,129076,111986,17090,40,2359.74,11950,11040,910,24,1188.04
2024-12,69095,61331,7764,11.237,5889.71,15,68722,61004,7718,15,5867.37,373,327,46,4,22.34
